Date,Platform,Rating,Review Count,Follower Count,Post Count
2026-02-10,google,4.6,445,,
2026-02-10,yelp,4.3,225,,
2026-02-10,instagram,,,944,83
2026-02-10,tiktok,,,2580,53
2026-02-17,google,4.6,455,,
2026-02-17,yelp,4.3,227,,
2026-02-17,instagram,,,929,85
2026-02-17,tiktok,,,2627,50
2026-02-24,yelp,4.3,231,,
2026-02-24,tiktok,,,2647,53
2026-02-24,instagram,,,962,83
2026-02-24,google,4.6,460,,
2026-03-03,yelp,4.3,234,,
2026-03-03,google,4.6,468,,
2026-03-03,instagram,,,972,87
2026-03-03,tiktok,,,2705,53
2026-03-10,yelp,4.3,239,,
2026-03-10,tiktok,,,2720,58
2026-03-10,instagram,,,986,84
2026-03-10,google,4.6,475,,
2026-03-17,google,4.6,482,,
2026-03-17,yelp,4.3,245,,
2026-03-17,tiktok,,,2748,58
2026-03-17,instagram,,,1004,89
2026-03-24,google,4.6,491,,
2026-03-24,yelp,4.3,245,,
2026-03-24,instagram,,,1002,89
2026-03-24,tiktok,,,2811,58
2026-03-31,google,4.6,500,,
2026-03-31,yelp,4.3,250,,
2026-03-31,instagram,,,1012,89
2026-03-31,tiktok,,,2849,61
2026-04-07,instagram,,,1035,
2026-04-07,yelp,4.3,254,,
2026-04-07,google,4.6,507,,
