Date,Platform,Rating,Review Count,Follower Count,Post Count
2026-02-10,google,4.3,283,,
2026-02-10,yelp,4.1,18,,
2026-02-10,instagram,,,2172,131
2026-02-10,tiktok,,,815,31
2026-02-17,google,4.3,288,,
2026-02-17,yelp,4.1,16,,
2026-02-17,instagram,,,2201,134
2026-02-17,tiktok,,,814,33
2026-02-24,instagram,,,2256,140
2026-02-24,tiktok,,,815,32
2026-02-24,google,4.3,293,,
2026-02-24,yelp,4.1,14,,
2026-03-03,instagram,,,2261,138
2026-03-03,google,4.3,296,,
2026-03-03,yelp,4.1,17,,
2026-03-03,tiktok,,,836,32
2026-03-10,instagram,,,2318,141
2026-03-10,tiktok,,,859,28
2026-03-10,google,4.3,304,,
2026-03-10,yelp,4.1,15,,
2026-03-17,yelp,4.1,19,,
2026-03-17,instagram,,,2334,149
2026-03-17,google,4.3,306,,
2026-03-17,tiktok,,,861,34
2026-03-24,yelp,4.1,17,,
2026-03-24,google,4.3,312,,
2026-03-24,instagram,,,2373,151
2026-03-24,tiktok,,,855,36
2026-03-31,google,4.3,316,,
2026-03-31,yelp,4.1,19,,
2026-03-31,instagram,,,2394,155
2026-03-31,tiktok,,,884,31
2026-04-07,instagram,,,2425,
2026-04-07,google,4.3,322,,
