Date,Platform,Rating,Review Count,Follower Count,Post Count
2026-02-10,google,4.9,75,,
2026-02-10,yelp,4.4,4,,
2026-02-10,instagram,,,8812,266
2026-02-10,tiktok,,,1124,38
2026-02-17,google,4.9,76,,
2026-02-17,yelp,4.4,5,,
2026-02-17,instagram,,,8940,270
2026-02-17,tiktok,,,1144,41
2026-02-24,yelp,4.4,8,,
2026-02-24,tiktok,,,1132,43
2026-02-24,instagram,,,9050,279
2026-02-24,google,4.9,77,,
2026-03-03,yelp,4.4,7,,
2026-03-03,google,4.9,78,,
2026-03-03,instagram,,,9173,284
2026-03-03,tiktok,,,1160,43
2026-03-10,yelp,4.4,7,,
2026-03-10,tiktok,,,1187,42
2026-03-10,instagram,,,9281,286
2026-03-10,google,4.9,78,,
2026-03-17,google,4.9,81,,
2026-03-17,yelp,4.4,5,,
2026-03-17,tiktok,,,1208,47
2026-03-17,instagram,,,9400,293
2026-03-24,google,4.9,79,,
2026-03-24,yelp,4.4,7,,
2026-03-24,instagram,,,9540,297
2026-03-24,tiktok,,,1200,47
2026-03-31,google,4.9,84,,
2026-03-31,yelp,4.4,9,,
2026-03-31,instagram,,,9649,304
2026-03-31,tiktok,,,1210,46
2026-04-07,instagram,,,9782,
2026-04-07,yelp,4.4,7,,
2026-04-07,google,4.9,83,,
